"Honorific Title","First Name","Last Name","Constituency","Province / Territory","Political Affiliation","Start Date","End Date",
"Hon.","Diane","Finley","Haldimand—Norfolk","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Pat","Finnigan","Miramichi—Grand Lake","New Brunswick","Liberal","10/19/2015 12:00:00 AM","",
"","Darren","Fisher","Dartmouth—Cole Harbour","Nova Scotia","Liberal","10/19/2015 12:00:00 AM","",
"","Peter","Fonseca","Mississauga East—Cooksville","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Judy","Foote","Bonavista—Burin—Trinity","Newfoundland and Labrador","Liberal","10/19/2015 12:00:00 AM","",
"","Rhéal","Fortin","Rivière-du-Nord","Quebec","Bloc Québécois","10/19/2015 12:00:00 AM","",
"","Peter","Fragiskatos","London North Centre","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Colin","Fraser","West Nova","Nova Scotia","Liberal","10/19/2015 12:00:00 AM","",
"","Sean","Fraser","Central Nova","Nova Scotia","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Chrystia","Freeland","University—Rosedale","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Hedy","Fry","Vancouver Centre","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Stephen","Fuhr","Kelowna—Lake Country","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Cheryl","Gallant","Renfrew—Nipissing—Pembroke","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Marc","Garneau","Notre-Dame-de-Grâce—Westmount","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Randall","Garrison","Esquimalt—Saanich—Sooke","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"","Bernard","Généreux","Montmagny—L'Islet—Kamouraska—Rivière-du-Loup","Quebec","Conservative","10/19/2015 12:00:00 AM","",
"","Garnett","Genuis","Sherwood Park—Fort Saskatchewan","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Mark","Gerretsen","Kingston and the Islands","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Marilène","Gill","Manicouagan","Quebec","Bloc Québécois","10/19/2015 12:00:00 AM","",
"","Marilyn","Gladu","Sarnia—Lambton","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Joël","Godin","Portneuf—Jacques-Cartier","Quebec","Conservative","10/19/2015 12:00:00 AM","",
"","Pam","Goldsmith-Jones","West Vancouver—Sunshine Coast—Sea to Sky Country","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Ralph","Goodale","Regina—Wascana","Saskatchewan","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Karina","Gould","Burlington","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Jacques","Gourde","Lévis—Lotbinière","Quebec","Conservative","10/19/2015 12:00:00 AM","",
"","David de Burgh","Graham","Laurentides—Labelle","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Raj","Grewal","Brampton East","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Patty","Hajdu","Thunder Bay—Superior North","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Cheryl","Hardcastle","Windsor—Tecumseh","Ontario","NDP","10/19/2015 12:00:00 AM","",
"","Rachael","Harder","Lethbridge","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Ken","Hardie","Fleetwood—Port Kells","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","T.J.","Harvey","Tobique—Mactaquac","New Brunswick","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Kent","Hehr","Calgary Centre","Alberta","Liberal","10/19/2015 12:00:00 AM","",
"","Randy","Hoback","Prince Albert","Saskatchewan","Conservative","10/19/2015 12:00:00 AM","",
"","Mark","Holland","Ajax","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Anthony","Housefather","Mount Royal","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Carol","Hughes","Algoma—Manitoulin—Kapuskasing","Ontario","NDP","10/19/2015 12:00:00 AM","",
"Hon.","Ahmed","Hussen","York South—Weston","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Gudie","Hutchings","Long Range Mountains","Newfoundland and Labrador","Liberal","10/19/2015 12:00:00 AM","",
"","Angelo","Iacono","Alfred-Pellan","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Matt","Jeneroux","Edmonton Riverbend","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Gord","Johns","Courtenay—Alberni","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"","Georgina","Jolibois","Desnethé—Missinippi—Churchill River","Saskatchewan","NDP","10/19/2015 12:00:00 AM","",
"Hon.","Mélanie","Joly","Ahuntsic-Cartierville","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Yvonne","Jones","Labrador","Newfoundland and Labrador","Liberal","10/19/2015 12:00:00 AM","",
"","Bernadette","Jordan","South Shore—St. Margarets","Nova Scotia","Liberal","10/19/2015 12:00:00 AM","",
"","Majid","Jowhari","Richmond Hill","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Peter","Julian","New Westminster—Burnaby","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"","Darshan Singh","Kang","Calgary Skyview","Alberta","Liberal","10/19/2015 12:00:00 AM","",
"","Pat","Kelly","Calgary Rocky Ridge","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Peter","Kent","Thornhill","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Iqra","Khalid","Mississauga—Erin Mills","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Kamal","Khera","Brampton West","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Robert","Kitchen","Souris—Moose Mountain","Saskatchewan","Conservative","10/19/2015 12:00:00 AM","",
"","Tom","Kmiec","Calgary Shepard","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Jenny","Kwan","Vancouver East","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"Hon.","Mike","Lake","Edmonton—Wetaskiwin","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","David","Lametti","LaSalle—Émard—Verdun","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Kevin","Lamoureux","Winnipeg North","Manitoba","Liberal","10/19/2015 12:00:00 AM","",
"","Linda","Lapointe","Rivière-des-Mille-Îles","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Guy","Lauzon","Stormont—Dundas—South Glengarry","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Stéphane","Lauzon","Argenteuil—La Petite-Nation","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Hélène","Laverdière","Laurier—Sainte-Marie","Quebec","NDP","10/19/2015 12:00:00 AM","",
"Hon.","Denis","Lebel","Lac-Saint-Jean","Quebec","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Dominic","LeBlanc","Beauséjour","New Brunswick","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Diane","Lebouthillier","Gaspésie—Les Îles-de-la-Madeleine","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Paul","Lefebvre","Sudbury","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","K. Kellie","Leitch","Simcoe—Grey","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Denis","Lemieux","Chicoutimi—Le Fjord","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Andrew","Leslie","Orléans","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Michael","Levitt","York Centre","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Ron","Liepert","Calgary Signal Hill","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Joël","Lightbound","Louis-Hébert","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Ben","Lobb","Huron—Bruce","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Alaina","Lockhart","Fundy Royal","New Brunswick","Liberal","10/19/2015 12:00:00 AM","",
"","Wayne","Long","Saint John—Rothesay","New Brunswick","Liberal","10/19/2015 12:00:00 AM","",
"","Lloyd","Longfield","Guelph","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Karen","Ludwig","New Brunswick Southwest","New Brunswick","Liberal","10/19/2015 12:00:00 AM","",
"","Tom","Lukiwski","Moose Jaw—Lake Centre—Lanigan","Saskatchewan","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Lawrence","MacAulay","Cardigan","Prince Edward Island","Liberal","10/19/2015 12:00:00 AM","",
"","Alistair","MacGregor","Cowichan—Malahat—Langford","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"","Dave","MacKenzie","Oxford","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Steven","MacKinnon","Gatineau","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Larry","Maguire","Brandon—Souris","Manitoba","Conservative","10/19/2015 12:00:00 AM","",
"","Sheila","Malcolmson","Nanaimo—Ladysmith","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"","James","Maloney","Etobicoke—Lakeshore","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Simon","Marcil","Mirabel","Quebec","Bloc Québécois","10/19/2015 12:00:00 AM","",
"","Brian","Masse","Windsor West","Ontario","NDP","10/19/2015 12:00:00 AM","",
"","Rémi","Massé","Avignon—La Mitis—Matane—Matapédia","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Irene","Mathyssen","London—Fanshawe","Ontario","NDP","10/19/2015 12:00:00 AM","",
"","Bryan","May","Cambridge","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Elizabeth","May","Saanich—Gulf Islands","British Columbia","Green Party","10/19/2015 12:00:00 AM","",
"","Kelly","McCauley","Edmonton West","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Phil","McColeman","Brantford—Brant","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Karen","McCrimmon","Kanata—Carleton","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Ken","McDonald","Avalon","Newfoundland and Labrador","Liberal","10/19/2015 12:00:00 AM","",
"","David","McGuinty","Ottawa South","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","John","McKay","Scarborough—Guildwood","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Catherine","McKenna","Ottawa Centre","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Ron","McKinnon","Coquitlam—Port Coquitlam","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Cathy","McLeod","Kamloops—Thompson—Cariboo","British Columbia","Conservative","10/19/2015 12:00:00 AM","",
"","Michael","McLeod","Northwest Territories","Northwest Territories","Liberal","10/19/2015 12:00:00 AM","",
"","Alexandra","Mendès","Brossard—Saint-Lambert","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Marco","Mendicino","Eglinton—Lawrence","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","MaryAnn","Mihychuk","Kildonan—St. Paul","Manitoba","Liberal","10/19/2015 12:00:00 AM","",
"","Larry","Miller","Bruce—Grey—Owen Sound","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Marc","Miller","Ville-Marie—Le Sud-Ouest—Île-des-Soeurs","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Maryam","Monsef","Peterborough—Kawartha","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Christine","Moore","Abitibi—Témiscamingue","Quebec","NDP","10/19/2015 12:00:00 AM","",
"Hon.","Bill","Morneau","Toronto Centre","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Robert","Morrissey","Egmont","Prince Edward Island","Liberal","10/19/2015 12:00:00 AM","",
"","Glen","Motz","Medicine Hat—Cardston—Warner","Alberta","Conservative","10/24/2016 12:00:00 AM","",
"Hon.","Thomas","Mulcair","Outremont","Quebec","NDP","10/19/2015 12:00:00 AM","",
"","Joyce","Murray","Vancouver Quadra","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Pierre","Nantel","Longueuil—Saint-Hubert","Quebec","NDP","10/19/2015 12:00:00 AM","",
"","Eva","Nassif","Vimy","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","John","Nater","Perth—Wellington","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Robert","Nault","Kenora","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Rob","Nicholson","Niagara Falls","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Alexander","Nuttall","Barrie—Springwater—Oro-Medonte","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Deepak","Obhrai","Calgary Forest Lawn","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Jennifer","O'Connell","Pickering—Uxbridge","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Robert","Oliphant","Don Valley West","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","John","Oliver","Oakville","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Seamus","O'Regan","St. John's South—Mount Pearl","Newfoundland and Labrador","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Erin","O'Toole","Durham","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Robert-Falcon","Ouellette","Winnipeg Centre","Manitoba","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Denis","Paradis","Brome—Missisquoi","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Pierre","Paul-Hus","Charlesbourg—Haute-Saint-Charles","Quebec","Conservative","10/19/2015 12:00:00 AM","",
"","Monique","Pauzé","Repentigny","Quebec","Bloc Québécois","10/19/2015 12:00:00 AM","",
"","Joe","Peschisolido","Steveston—Richmond East","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Kyle","Peterson","Newmarket—Aurora","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Ginette","Petitpas Taylor","Moncton—Riverview—Dieppe","New Brunswick","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Jane","Philpott","Markham—Stouffville","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Michel","Picard","Montarville","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Louis","Plamondon","Bécancour—Nicolet—Saurel","Quebec","Bloc Québécois","10/19/2015 12:00:00 AM","",
"Hon.","Pierre","Poilievre","Carleton","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Jean-Claude","Poissant","La Prairie","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Anne Minh-Thu","Quach","Salaberry—Suroît","Quebec","NDP","10/19/2015 12:00:00 AM","",
"Hon.","Carla","Qualtrough","Delta","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Lisa","Raitt","Milton","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"","Tracey","Ramsey","Essex","Ontario","NDP","10/19/2015 12:00:00 AM","",
"","Murray","Rankin","Victoria","British Columbia","NDP","10/19/2015 12:00:00 AM","",
"","Yasmin","Ratansi","Don Valley East","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Alain","Rayes","Richmond—Arthabaska","Quebec","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Geoff","Regan","Halifax West","Nova Scotia","Liberal","10/19/2015 12:00:00 AM","",
"","Scott","Reid","Lanark—Frontenac—Kingston","Ontario","Conservative","10/19/2015 12:00:00 AM","",
"Hon.","Michelle","Rempel","Calgary Nose Hill","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Blake","Richards","Banff—Airdrie","Alberta","Conservative","10/19/2015 12:00:00 AM","",
"","Jean","Rioux","Saint-Jean","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Gerry","Ritz","Battlefords—Lloydminster","Saskatchewan","Conservative","10/19/2015 12:00:00 AM","",
"","Yves","Robillard","Marc-Aurèle-Fortin","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"Hon.","Pablo","Rodriguez","Honoré-Mercier","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Sherry","Romanado","Longueuil—Charles-LeMoyne","Quebec","Liberal","10/19/2015 12:00:00 AM","",
"","Anthony","Rota","Nipissing—Timiskaming","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Kim","Rudd","Northumberland—Peterborough South","Ontario","Liberal","10/19/2015 12:00:00 AM","",
"","Dan","Ruimy","Pitt Meadows—Maple Ridge","British Columbia","Liberal","10/19/2015 12:00:00 AM","",
"","Don","Rusnak","Thunder Bay—Rainy River","Ontario","Liberal","10/19/2015 12:00:00 AM","",
